year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,21.846221923828125,20.97156542179196,21.08505959107552,21.64709944104061,21.711444338445876,20.98107969491336,20.945234413321117,21.896142134853687,21.90851371158979,21.61958186807152,21.981580877016786,21.736187954056987,21.777417545990954,21.77539515734809,21.99831328427813,21.93212931050354,21.940451333938796,21.332984148974777,21.373238425198252,21.086074392937064,21.090173691980482,21.14692290214643,20.869735495371355,20.858271028144127,20.959063273808813,21.322607741127843,21.375377293748603,21.48141712847149,21.5848320054702,22.024733274416235,22.25402211548972,21.52678212427988,21.619001281459663,21.63737048144756,20.894563900742828,21.06912410384213,21.14145733280276,21.215612330188453,21.25292557097137,21.072572176162492,21.117675843121237,21.232602402360346,21.864723627238572,21.847159903469656,21.861836503399093,21.429136754980856,21.522482887721015,21.57052442451368,21.753013086132587,21.982199622724778,21.345515318430746,21.344729318976032,21.729421637826892,21.630316286269863,21.168684838421314,21.188745435043984,21.691381794690045
1992,,21.851073809340658,21.986732737502034,21.337778933033054,21.415465076045933,21.64885938977115,21.624869866079468,21.0077650348541,21.001821232486595,21.612012705484982,21.31100086132032,21.263030572203093,21.29959927981316,21.29389596641234,21.14025149985531,21.092821637353154,21.075265097700765,20.839900035004614,20.88735838478115,21.04632784916716,21.05686512885514,21.121958328316754,21.294521777845414,21.319386868411556,21.412587424779144,21.448230441994866,21.49752067280234,21.867623346894863,21.99056705227513,21.437757853608264,21.571962389941728,21.305245574672494,21.41762231514994,21.41281300054405,21.365862478874465,21.551969162753817,21.7919726767344,21.829494631135855,21.874550864302574,21.809030775932417,21.889093605633775,22.06179712638679,20.994917985123646,21.0099523025582,21.023561758938474,21.328041930213203,21.400243135356504,21.468842133822488,21.663261508889395,21.83370609955813,21.369961988475286,21.344523011786787,21.713157515295023,21.60649454724744,21.393578017004092,21.417380309222533,20.936531134757832
1993,,21.210491252324402,21.335502309860164,21.09711982009402,21.209401224075453,21.964836512428878,21.952189034379245,20.905330013745544,20.920600453137336,21.529376011957442,21.291238016067524,20.834396037619808,20.84483980333859,20.877928803047723,21.22929559354037,21.144954496340194,21.14029247015692,21.05039351134972,21.108325519161127,21.153854683514624,21.160727285028127,21.228871736012547,21.750166367351977,21.69830684009015,21.844593834027933,21.42612399626435,21.454801002397875,21.5221643097063,21.64881524295897,21.517340106006127,21.679847802427883,21.265982186234698,21.37810720588311,21.342402378308673,21.45132192435754,21.653991002609796,22.19622949706466,22.2284366570739,22.220450180820166,21.856051904621705,21.964502480006093,22.096043908047665,21.272460151149772,21.24398371615472,21.22216779289077,21.424152366250762,21.453710826577737,21.509747345110156,21.220926097016388,21.409343619429194,21.888831657146273,21.848149819848725,21.85258111809162,21.775443047231715,21.540104279818678,21.557346009276273,20.928653704081427
1994,,21.424699719294086,21.49749340471946,20.863652850425364,20.947590182648458,21.192594271446552,21.136056094792355,21.82353552064934,21.862581834906354,21.49919915732883,21.63613912016291,21.094639866792857,21.143451662525138,21.161322493601034,21.6716350062819,21.575344936980674,21.583974697026008,21.440694096116744,21.493154601493483,21.199773211196202,21.25873082255895,21.321512440860033,21.334390391589313,21.322417724888066,21.428449559738635,21.283992061806618,21.320510258086767,21.659446031126322,21.82539239306867,21.035517932351876,21.16922866821298,21.13911232851628,21.243365911893118,21.23648052755563,20.78831379093531,20.93231710522797,21.505067240661987,21.550022978760865,21.61988377875066,21.55809098685764,21.58034293355442,21.718744443571136,21.403418451318014,21.398430537532903,21.43732179239359,21.49521344038597,21.528935455740452,21.615982172996542,21.124713136437823,21.32338675400563,22.061504208638798,22.021323141995065,21.582914367118377,21.509853351749786,21.232075037731704,21.241843458341226,20.889168858218927
1995,,22.17663030027207,22.31749638457283,21.321943090430228,21.412225847496757,21.505607201563198,21.480037722513572,21.347204340129167,21.37467727521779,21.893005127694483,21.51009445658778,21.125980502751286,21.15016552176972,21.149478618186436,21.604469290398054,21.500365791773692,21.479996698248936,21.294022438223493,21.33059134607883,21.613314126907415,21.56057478646058,21.632364516863635,22.0032065574611,21.996063984631462,22.107422677654096,21.43393511516958,21.480595359906744,22.05032103786534,22.18515940947513,21.714299773194444,21.863272228223575,21.380504101646192,21.494925969622823,21.475434535335694,21.918970343289356,22.09249658650444,21.084806006026707,21.148444442679324,21.224797991887726,22.036287787032467,22.108274467015338,22.23474782837486,21.241025816895576,21.2280978107887,21.236901731029622,21.421024895983777,21.45534262368683,21.57148855885968,21.341043848464427,21.52675922689919,21.2994596805661,21.30527707954302,20.96044086278629,20.915775637134725,21.93738669206594,21.96978863190958,21.581756875373525
1996,,21.541879722142426,21.64062072224374,22.371389330611702,22.393435554291113,21.348000954405943,21.310138840906216,21.27894081289914,21.29856155743887,21.815072669800276,21.490090632483163,22.130714870976202,22.201424460907685,22.16934235106869,21.694119583095084,21.617558970597457,21.608044001330995,21.174450364483032,21.208182485502032,21.593604853242407,21.599740561568108,21.659277800259446,21.19231739465721,21.10276967352604,21.206877833396913,21.951568692838833,22.00004149345502,21.4138908960351,21.55582767559734,21.20828308161212,21.327958478675033,21.97134290205734,22.10405087395795,22.05098347856357,22.51243786178935,22.686247396861773,21.187592349675214,21.27604692349371,21.30224741603925,21.15069991730986,21.19568352686228,21.297871222787773,21.43639757102389,21.468523031295803,21.4553209666074,21.552898524036078,21.592909053158053,21.702733913891905,22.143857884794688,22.318676258975398,21.261619398282505,21.21559179715378,21.31351692471448,21.281695520409688,21.590843117826267,21.585823185332856,21.87364412313234
1997,,21.590361381078036,21.716582299776906,21.459332154713774,21.52987459616453,21.29381898644856,21.25720183531872,21.4681408585501,21.487529007027632,21.97503496177644,21.70223253544494,21.66090292121505,21.689440702394876,21.698618284181908,21.499381879135957,21.42398022976543,21.420347951810594,21.283910017039755,21.298445191962475,21.535594061864554,21.571266459007926,21.622342582528564,21.373512869360287,21.39998524314865,21.49168179892619,21.868495329974404,21.90096461131475,21.514635108285848,21.63215405231631,21.358130186455554,21.490797939631562,21.87283139762714,21.98099896950913,22.01423474664553,22.02232839617442,22.21847169849974,21.98642778878829,22.02840350132764,22.08476374693144,21.445418107403004,21.49814120344048,21.621880190078542,21.56368902615772,21.574352462559528,21.590270290844945,21.455483229127726,21.478297638357606,21.564571482061734,22.065421364077235,22.22501217860392,21.46317490165116,21.452090114645813,21.82361579270874,21.730316643423105,21.44297710504416,21.51577190590775,21.537421833195094
1998,,21.93059601178452,22.040379978127685,21.795299977481232,21.854490728090855,21.67451573048776,21.68072884198199,22.02197447898421,22.061956369757052,21.60320466362943,21.86551079400479,21.987477786123748,22.049052240380377,22.001679379187493,21.646999909004705,21.559849337085733,21.558367717586247,21.52228896133218,21.579103309387506,21.875595925805765,21.892775751122695,21.932676699007033,21.330809740179802,21.33087013363081,21.450961921169437,21.420109242478578,21.475387363381667,21.880102253535085,22.025669606248027,21.79430380653154,21.943370877340005,21.403206355125434,21.530837516749852,21.478315097059816,22.011766160242132,22.22334587241689,21.250998721884798,21.335010671537162,21.397789076574384,21.90200919349441,21.95881448494971,22.071228670442594,21.801215196711695,21.796826647991008,21.82395850264332,21.706840874671496,21.75880191834337,21.86032828943263,21.300761432943876,21.547409749348862,21.515895103716655,21.508622298846046,21.554549273904644,21.495473958612035,21.714182278289098,21.716871448255574,22.12613751074097
1999,,21.50184406326498,21.634981087741295,21.899411569534312,21.96982206328923,21.355102091749956,21.35703231978738,22.312441811757584,22.28085769513976,21.47294279556625,22.343958190521004,21.571890302405517,21.624879819547697,21.64960695212727,22.283691088191347,22.211896561574793,22.194788881066746,21.801634366498337,21.85103248454617,21.466518098596065,21.472014186632777,21.51296702680196,21.11637265753214,21.172515587375624,21.287627101253747,21.359277722781115,21.355549663665556,21.55294856213443,21.733252158108417,21.940417844728966,22.117327988437324,21.634466352877627,21.752125653304727,21.733822223123383,21.769098200131708,21.91586424917267,21.48385009709894,21.51763936987744,21.55333119417652,21.7227570909475,21.809988196943596,21.94756474408709,22.212643629293932,22.22468060400278,22.222463109682753,22.015689979861083,22.02970133296597,22.083232040734185,21.339382169958707,21.524865412881894,21.114950609423573,21.133205600965027,21.363106564874556,21.29580459455381,21.355786679899353,21.444059710498408,21.479244541738893
2000,,21.86818876459834,21.98847297424585,21.628252540096486,21.708067919726734,21.66512028984185,21.689017919531864,21.561598262560427,21.59657265608278,21.90660258504791,21.8293528964943,22.12367930244049,22.183467920172706,22.154208176286243,21.87309513834083,21.76416863112779,21.774689591917404,21.729229844393775,21.77241090232813,21.901285923787913,21.908883380349874,21.959210143485564,21.592486047753425,21.507803346259465,21.63474089976963,21.757317165009066,21.860789994609917,21.871130691458717,22.015926332656647,21.77550792927507,21.95548815123676,21.957837627230447,22.078734308654123,22.06429939081902,21.64782672760153,21.815482800627404,21.761393610984754,21.79747463139222,21.852172006685453,21.370804296066762,21.39716293571857,21.518043228915882,21.986725176806914,21.953880429063265,22.003618310519034,21.78644655213381,21.79356635914981,21.866853358159926,21.916767002471516,22.096560738898848,21.947886282995142,21.95016488703206,21.969186180358633,21.89501217832526,21.318351409215342,21.330436701247653,22.031779190446702
