year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,0.6426927411278989,0.7561869104114578,-0.03894525195255483,0.025399645452711894,-1.5333703783288293,-1.5692156599210705,-0.9892128608738524,-0.9768412841377483,1.8453757065724972,2.6077805993068246,0.5807371331341358,0.621966725068102,0.6199443364252382,-0.022072457909370513,-0.08825643168395914,-0.0799344082487039,-1.2324703340574494,-1.1922160578339742,1.3685908724292517,1.3726901714726694,1.4294393816386162,0.2950341861672534,0.2835697189400257,0.38436196460471095,0.7317931506737416,0.7845627032945011,2.6354088276902417,2.7388237046889508,-0.5388100452859135,-0.3095212042124267,2.0113802840699186,2.1035994412497026,2.1219686412376007,0.25988982847720266,0.43445003157650675,-0.1803104742040773,-0.10615547681838322,-0.06884223603546502,1.3187059804837808,1.363809647442526,1.478736206681635,1.116350595622361,1.098786871853445,1.1134634717828824,1.5820660610111297,1.6754121937512885,1.7234537305439517,1.814063501171649,2.0432500377638405,-0.47795575090519193,-0.4787417503599052,-1.112537361806897,-1.2116427133639256,-0.7513991612124755,-0.7313385645898052,0.7491458480347717
1992,,0.437560625746908,0.5732195539082845,0.13731468437582706,0.21500082738870674,-1.6112724461663497,-1.635261969858032,-0.7657640178802758,-0.7717078202477801,1.841987452189084,2.9246540443037183,0.6920867398056316,0.7286554474157008,0.7229521340148786,0.23995242758968516,0.19252256508752907,0.17496602543513973,-1.1798448380422606,-1.1323864882657233,1.257789870041183,1.2683271497291635,1.333420349190778,0.1470856358776409,0.1719507264437823,0.26515128281137024,0.6558415259792412,0.7051317567867166,2.448250788301113,2.5711944936813786,0.17683256063951447,0.3110370969729779,2.004952605922494,2.1173293463999414,2.1125200317940482,-0.008899102546433113,0.1772075813329188,-0.4711098275380614,-0.43358787313660585,-0.38853163996988727,1.1338808583298778,1.213943688031236,1.3866472087842503,1.5401393138589974,1.5551736312935525,1.5687830876738253,1.4763668966438672,1.5485681017871684,1.6171671002531518,1.6991654395534574,1.8696100302221907,-0.37926935002569095,-0.4047083267141893,-1.0070268108768516,-1.113689778924435,-0.743577515832822,-0.7197752236143806,0.7854138099287304
1993,,0.5368862871144415,0.6618973446502032,0.01379157302370615,0.12607297700514053,-1.645759190696122,-1.658406668745755,-0.7285410647456665,-0.713270625353875,1.8512811480658407,2.834674066482563,0.6536308856422686,0.6640746513610516,0.6971636510701842,0.1117571413919336,0.027416044191756583,0.02275401800848087,-1.1969209417752786,-1.1389889339638728,1.257742241498022,1.2646148430115254,1.3327592939959452,0.25387997514006244,0.2020204478782368,0.3483074418160186,0.6222604708737265,0.6509374770072505,2.555453265394778,2.6821041986474476,0.1698002042727289,0.33230790069448446,1.9347997063762996,2.046924726024713,2.0112198984502747,0.02564176383507899,0.22831084208733543,-0.38279004944412875,-0.35058288943488947,-0.3585693656886235,1.1272921389967046,1.235742714381093,1.3672841424226654,1.5208331827659833,1.4923567477709305,1.4705408245069798,1.3880042949617,1.4175627552886745,1.473599273821094,2.284829905610138,2.473247428022944,-0.540102440143766,-0.5807842774413139,-1.1069983496818168,-1.1841364205417229,-0.632432570156908,-0.615190840699313,0.7300357689007626
1994,,0.543495114191547,0.6162887996169211,0.05964245919001243,0.1435797914131065,-1.4367029850231745,-1.4932411616773713,-0.9338134936328863,-0.8947671793758722,1.9207994991257067,2.87505170256037,0.559422581636607,0.6082343773688876,0.626105208444784,0.006367061945962149,-0.0899230073552637,-0.08129324730992948,-1.210474727125444,-1.1580142217487044,1.2566884943993273,1.3156461057620739,1.3784277240631582,0.284045924426227,0.2720732577249798,0.3781050925755487,0.839829693032204,0.8763478893123526,2.3445198836653844,2.5104662456077342,0.49635815757160273,0.630068893432707,2.114606713281905,2.218860296658743,2.2119749123212564,0.4372300354421448,0.5812333497348057,-0.44866238885461485,-0.403706650755737,-0.3338458507659432,1.3070533892013891,1.3293053358981695,1.4677068459148863,1.4335183200924284,1.428530406307317,1.4674216611680038,1.185713699785385,1.2194357151398663,1.3064824323959563,2.0887023942503227,2.2873760118181288,-0.5109197262977254,-0.5511007929414582,-1.1489677282185369,-1.2220287435871278,-0.6250264026979835,-0.6152579820884618,0.6990901228673643
1995,,0.37686185239609316,0.5177279366968541,0.14032344626518878,0.23060620333171755,-1.6205219488274274,-1.646091427877053,-0.8870791071364579,-0.8596061720478367,1.796294922616358,2.7924030350789906,0.7427655521897627,0.766950571208195,0.7662636676249122,0.08067511620371803,-0.0234283824206436,-0.043797475945400066,-1.1822291639493585,-1.145660256094022,1.3182396640167902,1.265500323569956,1.3372900539730104,0.1150744621241877,0.107931889294548,0.21929058231718201,0.5654715989342272,0.6121318436713921,2.4444765401846773,2.579314911794466,-0.007431412718641894,0.14154104231048947,2.011811703574903,2.126233571551534,2.106742137264405,-0.10529685336591754,0.06822938984916505,-0.3428825926061059,-0.2792441559534886,-0.2028906067450862,1.1482663179162564,1.2202529978991272,1.3467263592586498,1.3340376729746772,1.3211096668678017,1.3299135871087238,1.375849343615613,1.4101670713186643,1.5263130064915167,1.9528449959253642,2.1385603743601287,-0.5065610561282377,-0.5007436571513146,-0.9511802309637112,-0.9958454566152746,-0.8320739860346471,-0.7996720461910058,0.6192477201000877
1996,,0.45337874557992563,0.5521197456812388,0.1778163325648272,0.19986255624423777,-1.434109259827455,-1.4719713733271824,-0.9225820142492971,-0.9029612697095679,1.8286281965336748,2.8639157057253506,0.63704726843714,0.7077568583686222,0.6756747485296266,0.11128915401793549,0.03472854152030891,0.025213572253846905,-1.177096876727905,-1.1433647557089053,1.277437021821509,1.2835727301472097,1.3431099688385473,0.5149282497597483,0.42538052862857967,0.5294886884994519,0.5969696938153959,0.6454424944315811,2.600099621010685,2.7420364005729247,0.3023992925496195,0.4220746896125327,1.9738148258854658,2.1065227977860737,2.0534554023916947,-0.31225391067158625,-0.138444375599164,-0.30891338762947385,-0.22045881381097843,-0.19425832126543696,1.5383589901858379,1.5833425997382555,1.6855302956637495,1.551662463602014,1.5837879238739276,1.570585859185524,1.339504358997015,1.3795148881189903,1.4893397488528421,1.5037574056687113,1.678575779849421,-0.24652307303097132,-0.2925506741596955,-1.028981854582394,-1.0608032588871872,-0.7520314091512716,-0.7570513416446829,0.6609728432251138
1997,,0.35845258286026294,0.4846735015591328,0.05010669084658659,0.12064913229734131,-1.6327461838395259,-1.6693633349693648,-0.8877913771676731,-0.8684032286901413,1.7516615486905032,2.7985860663287276,0.625248853221887,0.6537866344017118,0.6629642161887439,0.08902726487814405,0.013625615507617539,0.009993337552781867,-1.117996950123331,-1.1034617752006106,1.2411852636467806,1.276857660790153,1.3279337843107903,0.20443022775872421,0.2309026015470863,0.3225991573246283,0.645406111834756,0.6778753931750998,2.540584586435262,2.6581035304657235,0.37196418608934323,0.5046319392653515,1.8008308940871025,1.9089984659690913,1.9422342431054922,-0.11131380048085404,0.08482950184446736,-0.6504282903132719,-0.6084525777739209,-0.5520923321701225,1.3691794752008555,1.4219025712383306,1.5456415578763938,1.240065368931159,1.2507288053329653,1.2666466336183824,1.2918079209001867,1.3146223301300672,1.4008961738341945,1.7058384630762582,1.8654292776029422,-0.3161582129728622,-0.3272429999782105,-1.1665060487219243,-1.2598051980075589,-0.8497532263767376,-0.776958425513147,0.5857006417888435
1998,,0.2540422855882305,0.36382625193139617,0.028856724917755372,0.0880474755273788,-1.6678914960747413,-1.6616783845805116,-0.8147717368361036,-0.7747898460632605,1.9138945897768913,2.7603224242538147,0.6911616392731617,0.7527360935297907,0.7053632323369072,0.1348539129109554,0.04770334099198337,0.046221721492496926,-1.1376899052449687,-1.0808755571896427,1.4015148863770541,1.418694711693984,1.4585956595783216,0.2443782368839038,0.24443863033491198,0.3645304178735387,0.5910439196026012,0.6463220405056909,2.464803791621023,2.610371144333964,0.25806990455400225,0.40713697536246585,2.14587259963227,2.2735037612566877,2.2209813415666524,0.013124192468694673,0.22470390464345158,-0.3517539636620768,-0.26774201400971265,-0.20496360897249133,1.2483131333137472,1.305118424769045,1.4175326102619294,1.2341223012038824,1.2297337524831953,1.2568656071355058,1.1691669244761833,1.221127968148057,1.3226543392373173,2.01939889937454,2.266047215779526,-0.4523608929874463,-0.45963369785805597,-1.1275891690885196,-1.1866644843811294,-0.6426349671943008,-0.6399457972278242,0.6995933212878462
1999,,0.4212108998128308,0.5543479242891465,-0.020119298995961543,0.05029119475895527,-1.6073155107891068,-1.6053852827516835,-0.8610963962502289,-0.8926805128680542,1.956411804965665,2.5670664821469806,0.5180725533820798,0.5710620705242597,0.5957892031038341,0.05410162591107337,-0.01769290070548024,-0.03480058121352769,-1.1719316887995141,-1.1225335707516813,1.4314896409544637,1.436985728991175,1.477938569160358,0.1014800794071391,0.15762300925062434,0.27273452312874724,0.916980740969592,0.9132526818540327,2.56063326977603,2.740936865750019,-0.24906007580326062,-0.07214993209490217,2.0779840378141508,2.1956433382412506,2.1773399080599063,0.08818046026354409,0.2349465093045069,-0.36564292963445766,-0.3318536568559587,-0.29616183255688,1.1518800157521873,1.2391111217482838,1.3766876688917762,1.073386198263659,1.085423172972508,1.0832056786524795,1.235813270876708,1.2498246239815956,1.3033553317498097,2.2469539625612462,2.432437205484433,-0.4860873697024033,-0.46783237816094925,-1.068726702337358,-1.136028672658103,-0.884560228669983,-0.7962871980709281,0.5597861524566667
2000,,0.3950804729723636,0.5153646826198717,0.013058219417775518,0.09287359904802273,-1.4601944226825658,-1.4362967929925503,-0.8938308145880107,-0.8588564210656564,1.6951214906875585,2.6831183841651978,0.6176883203848256,0.6774769381170422,0.648217194230579,0.0804868772324312,-0.028439629980606895,-0.017918669190994052,-1.183810316739038,-1.1406292588046831,1.35553435213264,1.3631318086946003,1.4134585718302901,0.4412466526118237,0.3565639511178631,0.4835015046280269,0.38880787240652737,0.4922807020073776,2.458786712576881,2.6035823537748115,-0.07337856059309544,0.10660166136859672,1.8505588033779077,1.9714554848015844,1.9570205669664809,0.05872112152242792,0.22637719454830219,-0.5230855302505972,-0.4870045098431319,-0.4323071345498981,1.5534157615208635,1.5797744011726707,1.7006546943699838,1.2375949277834764,1.2047501800398273,1.2544880614955964,1.0998010443213104,1.1069208513373106,1.1802078503474256,1.6366823924861649,1.8164761289134965,-0.5095722130986076,-0.5072936090616906,-1.2743040387575775,-1.3484780407909511,-0.6848739173227436,-0.6727886252904334,0.6792954410570538
